min,sec,v
0,30,5.87
1,0,1.235
1,30,-14.327
2,0,-2.036
2,30,10.814
3,0,-1.246
3,30,-4.539
4,0,4.502
4,30,-1.146
5,0,-1.633
5,30,5.724
6,0,2.019
6,30,-4.7139999999999995
7,0,-12.012
7,30,-2.34
8,0,7.066
8,30,-4.676
9,0,-4.136
9,30,4.437
10,0,0.488
10,30,-0.9259999999999999
11,0,4.6339999999999995
11,30,2.928
12,0,-2.602
12,30,-5.0089999999999995
13,0,-3.3310000000000004
13,30,2.529
14,0,-1.561
14,30,-1.499
15,0,3.79
15,30,-1.3619999999999999
16,0,-4.181
16,30,-0.737
17,0,2.678
17,30,-1.159
18,0,0.349
18,30,5.346
19,0,2.353
19,30,-1.975
20,0,-6.686
20,30,-3.272
21,0,2.1430000000000002
21,30,-9.752
22,0,-5.733
22,30,1.7480000000000002
23,0,-0.237
23,30,4.746
24,0,6.782
24,30,-5.442
25,0,-4.9030000000000005
25,30,0.677
26,0,1.614
26,30,1.4709999999999999
27,0,-4.023
27,30,2.374
28,0,2.9539999999999997
28,30,-5.166
29,0,2.0909999999999997
29,30,5.113
30,0,-5.394
30,30,-2.456
31,0,1.921
31,30,-2.239
32,0,-1.0190000000000001
32,30,0.72
33,0,-1.8159999999999998
33,30,0.509
34,0,-4.378
34,30,-4.476
35,0,5.827000000000001
35,30,2.169
36,0,-1.245
36,30,2.23
37,0,-2.5140000000000002
37,30,-2.526
38,0,0.8170000000000001
38,30,0.9179999999999999
39,0,-1.253
39,30,-4.272
40,0,-0.32799999999999996
40,30,-1.3619999999999999
41,0,-2.026
41,30,2.234
42,0,3.201
42,30,-2.153
43,0,-1.831
43,30,0.46
44,0,-0.7509999999999999
44,30,-0.016
45,0,0.66
45,30,-2.194
46,0,-4.095
46,30,0.779
47,0,3.682
47,30,-4.391
48,0,-5.1739999999999995
48,30,0.835
49,0,1.213
49,30,-1.929
50,0,0.052000000000000005
50,30,6.971
51,0,-0.05
51,30,-7.864
52,0,-4.756
52,30,6.874
53,0,-3.06
53,30,-3.3680000000000003
54,0,11.050999999999998
54,30,-7.346
55,0,-12.84
55,30,-3.457
56,0,0.162
56,30,14.395
57,0,6.426
57,30,-2.61
58,0,1.8119999999999998
58,30,-3.23
59,0,-4.419
59,30,0.627
60,0,-0.63
60,30,-5.3729999999999976
61,0,-3.4339999999999997
61,30,-3.325
62,0,-3.7539999999999996
62,30,-2.149
63,0,4.763999999999999
63,30,9.59
64,0,1.2329999999999999
64,30,-3.358
65,0,4.43
65,30,0.257
66,0,-5.787000000000001
66,30,-1.515
67,0,-3.966
67,30,-6.787000000000001
68,0,0.986
68,30,0.556
69,0,-0.8240000000000001
69,30,3.8989999999999996
70,0,-1.518
70,30,0.7559999999999999
71,0,3.7969999999999997
71,30,-0.57
72,0,0.836
72,30,-1.974
73,0,-5.65
73,30,-0.564
74,0,2.431
74,30,-1.156
75,0,1.575
75,30,-0.10099999999999999
76,0,-10.215
76,30,-1.06
77,0,4.923
77,30,2.28
78,0,0.114
78,30,-0.223
79,0,-6.318
79,30,-1.42
80,0,8.986
80,30,2.6
81,0,-0.823
81,30,0.125
82,0,-7.149
82,30,-6.104
83,0,-5.223
83,30,-5.747000000000001
84,0,-0.504
84,30,-0.163
85,0,2.2030000000000003
85,30,-2.0069999999999997
86,0,4.438
86,30,10.628
87,0,1.222
87,30,0.41
88,0,-3.2239999999999998
88,30,-7.487
89,0,-11.952
89,30,-9.535
90,0,6.676
90,30,9.213
91,0,-2.656
91,30,-3.48
92,0,3.835
92,30,-0.15
93,0,-3.43
93,30,5.475
94,0,3.813
94,30,-5.952999999999999
95,0,-5.206
95,30,3.7739999999999996
96,0,-4.8389999999999995
96,30,-11.312999999999999
97,0,0.301
97,30,3.4939999999999998
98,0,-3.076
98,30,0.8759999999999999
99,0,4.287
99,30,1.455
100,0,3.615
100,30,3.156
101,0,0.674
101,30,-4.718
102,0,-3.783
102,30,-2.419
103,0,-8.14
103,30,-6.92
104,0,3.54
104,30,3.7310000000000003
105,0,-3.327
105,30,1.218
106,0,10.342
106,30,1.295
107,0,-2.134
107,30,4.662
108,0,4.023
108,30,-5.1720000000000015
109,0,-8.211
109,30,0.016
110,0,-2.4130000000000003
110,30,-6.5889999999999995
111,0,-3.6839999999999997
111,30,-2.4419999999999997
112,0,3.7910000000000004
112,30,11.622
113,0,9.324
113,30,-3.7510000000000003
114,0,-9.602
114,30,4.033
115,0,-0.903
115,30,-11.112
116,0,2.6210000000000004
116,30,2.471
117,0,-2.379
117,30,0.8
118,0,1.859
118,30,1.4469999999999998
119,0,-2.438
119,30,2.492
120,0,2.138
120,30,-7.312
121,0,-12.091
121,30,4.456
122,0,7.678
122,30,-8.572000000000001
123,0,-3.315
123,30,-2.596
124,0,-4.56
124,30,4.598
125,0,2.81
125,30,3.286
126,0,3.555
126,30,-4.994
127,0,-3.7710000000000004
127,30,4.37
128,0,-0.37799999999999995
128,30,-3.1439999999999997
129,0,-0.556
129,30,-6.0829999999999975
130,0,-3.02
130,30,2.495
131,0,-2.526
131,30,2.83
132,0,0.23399999999999999
132,30,-7.2970000000000015
133,0,3.0410000000000004
133,30,5.273
134,0,-2.707
134,30,1.73
135,0,1.305
135,30,-3.411
136,0,-1.465
136,30,-0.23600000000000002
137,0,-1.935
137,30,-1.796
138,0,-2.832
138,30,-2.635
139,0,-2.6710000000000003
139,30,0.498
140,0,4.513999999999999
140,30,6.343
141,0,0.081
141,30,-4.207
142,0,-1.788
142,30,1.838
143,0,1.043
143,30,-0.292
144,0,-1.527
144,30,-3.113
145,0,-0.858
145,30,-2.742
146,0,2.6289999999999996
146,30,5.379
147,0,-1.21
147,30,-2.399
148,0,1.131
148,30,-1.376
149,0,-1.033
149,30,-1.626
150,0,1.8969999999999998
150,30,0.192
151,0,-1.2409999999999999
151,30,-2.841
152,0,-1.5390000000000001
152,30,5.385
153,0,0.22899999999999998
153,30,-5.4910000000000005
154,0,-0.882
154,30,-0.932
155,0,-1.78
155,30,4.988
156,0,-1.525
156,30,0.096
157,0,3.0789999999999997
157,30,-2.367
158,0,-4.598
158,30,-3.7430000000000003
159,0,-1.02
159,30,5.149
160,0,3.187
160,30,-4.0310000000000015
161,0,-6.454
161,30,-2.575
162,0,1.893
162,30,3.701
163,0,3.654
163,30,-0.155
164,0,-1.84
164,30,-1.0979999999999999
165,0,1.19
165,30,-0.5379999999999999
166,0,3.8789999999999996
166,30,2.8930000000000002
167,0,1.505
167,30,-0.195
168,0,3.8810000000000002
168,30,7.44
169,0,2.524
169,30,-1.819
170,0,-1.239
170,30,0.7659999999999999
171,0,-1.0959999999999999
171,30,1.276
172,0,2.365
172,30,0.799
173,0,-1.5859999999999999
173,30,-5.13
174,0,-12.329
174,30,-8.352
175,0,-8.626
175,30,-5.6160000000000005
176,0,-0.657
176,30,16.36
177,0,-3.8560000000000003
177,30,2.659
178,0,13.365
178,30,-37.029
179,0,-26.271
179,30,2.7430000000000003
180,0,-13.599
180,30,2.8160000000000003
181,0,12.677999999999999
181,30,-20.605
182,0,3.542
182,30,36.909
183,0,19.809
183,30,-11.714
184,0,-4.82
184,30,5.441
185,0,3.588
185,30,-7.164
186,0,-6.733
186,30,-3.551
187,0,-9.884
187,30,-15.822000000000001
188,0,4.7860000000000005
188,30,20.014
189,0,2.648
189,30,-4.552
190,0,7.657999999999999
190,30,8.435
191,0,-1.994
191,30,-5.157
192,0,2.48
192,30,1.814
193,0,-8.538
193,30,-9.956
194,0,-0.56
194,30,4.518
195,0,2.428
195,30,-0.10400000000000001
196,0,-4.8660000000000005
196,30,-3.304
197,0,1.516
197,30,0.735
198,0,-1.577
198,30,-2.077
199,0,-2.818
199,30,-1.58
200,0,-0.385
200,30,0.657
201,0,1.371
201,30,2.331
202,0,0.20199999999999999
202,30,-3.487
203,0,1.3869999999999998
203,30,1.821
204,0,2.531
204,30,3.109
205,0,-3.4789999999999996
205,30,-3.971
206,0,1.464
206,30,-0.38799999999999996
207,0,1.368
207,30,3.525
208,0,-1.791
208,30,-2.129
209,0,-3.859
209,30,-2.353
210,0,4.202
210,30,3.995
211,0,1.42
211,30,1.524
212,0,-4.6819999999999995
212,30,-5.893
213,0,1.011
213,30,2.3
214,0,0.242
214,30,1.964
215,0,-1.611
215,30,-4.397
216,0,-0.31
216,30,0.413
217,0,-0.7609999999999999
217,30,4.078
218,0,0.10300000000000001
218,30,-6.3729999999999976
219,0,-5.415
219,30,-0.899
220,0,5.162999999999999
220,30,2.94
221,0,-1.652
221,30,-2.5789999999999997
222,0,-4.501
222,30,-1.693
223,0,0.848
223,30,3.0439999999999996
224,0,4.998
224,30,-4.308
225,0,-5.642
225,30,5.785
226,0,5.162999999999999
226,30,3.571
227,0,3.983
227,30,5.601
228,0,6.691
228,30,-0.9179999999999999
229,0,-3.917
229,30,-4.277
230,0,-6.558
230,30,-2.897
231,0,-2.833
231,30,-7.436
232,0,-5.484
232,30,3.304
233,0,-9.652000000000001
233,30,-5.857
234,0,16.645
234,30,-6.385
235,0,-20.57
235,30,0.9740000000000001
236,0,9.832
236,30,-0.253
237,0,3.319
237,30,7.155
238,0,-9.017000000000001
238,30,-10.779000000000002
239,0,4.845
239,30,9.416
240,0,-2.528
240,30,-20.535
241,0,-5.313
241,30,8.274
242,0,-2.056
242,30,-6.6370000000000005
243,0,4.494
243,30,12.357000000000001
244,0,4.0889999999999995
244,30,1.642
245,0,-5.072
245,30,-5.9110000000000005
246,0,2.336
246,30,3.715
247,0,-0.086
247,30,-5.952999999999999
248,0,-4.204
248,30,1.178
249,0,1.994
249,30,0.142
250,0,1.913
250,30,-1.57
251,0,-8.462
251,30,-3.9219999999999997
252,0,7.845
252,30,5.812
253,0,-0.294
253,30,-3.6430000000000002
254,0,0.298
254,30,1.031
255,0,-0.501
255,30,0.141
256,0,-1.443
256,30,-5.666
257,0,-4.21
257,30,5.2589999999999995
258,0,1.681
258,30,-5.9220000000000015
259,0,-3.41
259,30,2.847
260,0,0.9359999999999999
260,30,1.31
261,0,-0.782
261,30,-4.559
262,0,-2.7880000000000003
262,30,0.045
263,0,3.78
263,30,2.076
264,0,-2.1630000000000003
264,30,-1.636
265,0,1.6969999999999998
265,30,-5.001
266,0,-4.935
266,30,2.9560000000000004
267,0,-0.07200000000000001
267,30,-2.697
268,0,1.026
268,30,0.848
269,0,-0.883
269,30,-0.36
270,0,3.338
270,30,1.214
271,0,-3.438
271,30,-4.114
272,0,-0.563
272,30,0.049
273,0,-2.283
273,30,0.068
274,0,1.012
274,30,-1.368
275,0,0.466
275,30,0.447
276,0,-1.38
276,30,-0.055999999999999994
277,0,0.85
277,30,-0.491
278,0,-2.6519999999999997
278,30,-2.5380000000000003
279,0,1.775
279,30,2.085
280,0,-3.9330000000000003
280,30,-3.87
281,0,1.9509999999999998
281,30,1.604
282,0,-3.0989999999999998
282,30,-2.944
283,0,1.788
283,30,-4.363
284,0,-4.2860000000000005
284,30,5.726
285,0,5.745
285,30,-4.882
286,0,-9.572000000000001
286,30,-0.9329999999999999
287,0,11.023
287,30,3.365
288,0,-3.9410000000000003
288,30,0.153
289,0,-2.6319999999999997
289,30,-7.065
290,0,0.726
290,30,4.297
291,0,-0.708
291,30,-4.091
292,0,-1.064
292,30,2.677
293,0,0.33799999999999997
293,30,-1.037
294,0,1.345
294,30,2.006
295,0,0.038
295,30,-3.7239999999999998
296,0,-4.545
296,30,-3.966
297,0,2.8160000000000003
297,30,2.958
298,0,0.597
298,30,1.8980000000000001
299,0,-3.341
299,30,-4.3610000000000015
300,0,3.8760000000000003
300,30,0.068
301,0,-0.9470000000000001
301,30,0.573
302,0,-0.27699999999999997
302,30,-0.732
303,0,-1.8530000000000002
303,30,0.813
304,0,0.9079999999999999
304,30,0.032
305,0,2.1959999999999997
305,30,2.633
306,0,-1.585
306,30,-7.058
307,0,-6.439
307,30,1.761
308,0,2.991
308,30,1.69
309,0,0.009000000000000001
309,30,1.135
310,0,4.002
310,30,-1.351
311,0,-4.019
311,30,0.40299999999999997
312,0,1.8119999999999998
312,30,0.42
313,0,0.018000000000000002
313,30,-1.129
314,0,-7.6720000000000015
314,30,-2.908
315,0,3.674
315,30,-0.252
316,0,-2.9160000000000004
316,30,-1.2770000000000001
317,0,-0.758
317,30,4.027
318,0,8.606
318,30,7.752999999999999
319,0,-3.36
319,30,-8.865
320,0,-7.752999999999999
320,30,-7.095
321,0,1.983
321,30,5.655
322,0,0.961
322,30,-1.151
323,0,-4.784
323,30,-4.51
324,0,4.32
324,30,4.13
325,0,-0.67
325,30,-1.159
326,0,-2.75
326,30,-3.0210000000000004
327,0,-0.675
327,30,-2.654
328,0,-0.26
328,30,3.055
329,0,-2.8680000000000003
329,30,-3.497
330,0,2.7060000000000004
330,30,-2.381
331,0,-4.138999999999999
331,30,3.44
332,0,3.532
332,30,-3.685
333,0,1.5530000000000002
333,30,-2.3569999999999998
334,0,-8.392999999999999
334,30,1.097
335,0,0.8340000000000001
335,30,-1.421
336,0,1.665
336,30,-2.408
337,0,0.579
337,30,1.808
338,0,-0.835
338,30,2.935
339,0,0.154
339,30,-3.589
340,0,-4.055
340,30,-2.77
341,0,-0.612
341,30,2.551
342,0,-0.6890000000000001
342,30,-0.284
343,0,3.145
343,30,-4.132
344,0,-4.19
344,30,0.841
345,0,-0.153
345,30,3.713
346,0,4.042
346,30,-1.069
347,0,-5.52
347,30,-1.715
348,0,4.848
348,30,-4.251
349,0,-4.167
349,30,3.697
350,0,1.936
350,30,-1.692
351,0,3.964
351,30,0.7170000000000001
352,0,-0.113
352,30,-2.214
353,0,-3.05
353,30,0.264
354,0,1.01
354,30,-0.638
355,0,-2.28
355,30,-0.027999999999999997
356,0,1.046
356,30,3.867
357,0,2.105
357,30,-2.096
358,0,-4.122
358,30,-5.67
359,0,-0.747
359,30,5.122000000000001
360,0,0.311
360,30,-1.694
361,0,-1.2790000000000001
361,30,0.56
362,0,1.8969999999999998
362,30,1.58
363,0,-0.753
363,30,-7.24
364,0,-5.252999999999999
364,30,3.3819999999999997
365,0,5.843
365,30,2.24
366,0,-2.051
366,30,-2.051
367,0,-2.722
367,30,0.069
368,0,0.39
368,30,-0.769
369,0,-3.623
369,30,0.001
370,0,2.099
370,30,1.538
371,0,1.5830000000000002
371,30,-0.887
372,0,-1.162
372,30,-2.464
373,0,-2.557
373,30,0.92
374,0,1.848
374,30,3.7430000000000003
375,0,-1.7369999999999999
375,30,-1.6740000000000002
376,0,-0.147
376,30,-5.386
377,0,-2.615
377,30,2.045
378,0,4.947
378,30,-0.621
379,0,-3.91
379,30,-0.563
380,0,-1.01
380,30,-3.187
381,0,2.039
381,30,5.561
382,0,3.9610000000000003
382,30,-0.038
383,0,-7.1270000000000024
383,30,-4.295
384,0,0.17600000000000002
384,30,-7.162000000000001
385,0,-0.679
385,30,6.733
386,0,0.12
386,30,2.892
387,0,-3.234
387,30,-4.6960000000000015
388,0,9.391
388,30,-3.266
389,0,-5.524
389,30,5.526
390,0,-3.698
390,30,-4.381
391,0,4.698
391,30,-4.865
392,0,-6.55
392,30,1.3119999999999998
393,0,-1.709
393,30,0.442
394,0,3.818
394,30,0.8320000000000001
395,0,1.496
395,30,-0.40299999999999997
396,0,-4.87
396,30,-2.434
397,0,-1.195
397,30,-1.27
398,0,3.5180000000000002
398,30,0.087
399,0,-4.706
399,30,-1.814
400,0,-1.067
400,30,-1.168
401,0,3.975
401,30,0.64
402,0,-7.539
402,30,-2.2430000000000003
403,0,-1.0490000000000002
403,30,-3.222
404,0,-0.483
404,30,0.46799999999999997
405,0,-1.7919999999999998
405,30,-3.428
406,0,-1.271
406,30,5.855
407,0,6.6610000000000005
407,30,-4.57
408,0,-1.544
408,30,5.841
409,0,-4.091
409,30,-5.894
410,0,3.39
410,30,0.82
411,0,-4.323
411,30,2.033
412,0,1.133
412,30,-5.546
413,0,-2.764
413,30,2.086
414,0,2.752
414,30,2.8819999999999997
415,0,1.537
415,30,-3.21
416,0,-6.4060000000000015
416,30,-4.775
417,0,0.18100000000000002
417,30,1.3090000000000002
418,0,2.319
418,30,2.67
419,0,0.341
419,30,-4.801
420,0,-3.758
420,30,3.8
421,0,-0.013000000000000001
421,30,-1.7309999999999999
422,0,5.81
422,30,0.555
423,0,-8.707
423,30,-4.53
424,0,0.5870000000000001
424,30,0.6629999999999999
425,0,5.3820000000000014
425,30,2.114
426,0,-2.721
426,30,0.408
427,0,-1.474
427,30,-2.428
428,0,0.008
428,30,-2.225
429,0,-5.513
429,30,-2.326
430,0,1.025
430,30,1.107
431,0,4.543
431,30,-0.8370000000000001
432,0,-3.9789999999999996
432,30,1.643
433,0,1.347
433,30,0.772
434,0,-0.473
434,30,-3.859
435,0,-1.9169999999999998
435,30,2.1180000000000003
436,0,-1.044
436,30,0.441
437,0,-1.617
437,30,-3.66
438,0,5.8370000000000015
438,30,7.4579999999999975
439,0,-1.506
439,30,-6.324
440,0,-7.171
440,30,-1.229
441,0,5.931
441,30,5.083
442,0,0.17300000000000001
442,30,-1.119
443,0,-4.9860000000000015
443,30,-2.3609999999999998
444,0,3.832
444,30,1.874
445,0,-0.024
445,30,0.32799999999999996
446,0,-2.8789999999999996
446,30,-4.535
447,0,-3.6010000000000004
447,30,0.7040000000000001
448,0,3.688
448,30,0.946
449,0,0.064
449,30,-2.025
450,0,-6.784
450,30,1.663
451,0,7.013999999999999
451,30,0.39899999999999997
452,0,-0.622
452,30,-1.109
453,0,-4.562
453,30,-1.966
454,0,0.759
454,30,0.233
455,0,-0.701
455,30,-3.053
456,0,-1.608
456,30,0.377
457,0,0.7170000000000001
457,30,1.646
458,0,3.5639999999999996
458,30,0.597
459,0,-0.47600000000000003
459,30,0.068
460,0,-2.0909999999999997
460,30,-7.272
461,0,-1.2930000000000001
461,30,1.04
462,0,-5.749
462,30,-2.68
463,0,5.8260000000000005
463,30,0.07200000000000001
464,0,-3.1660000000000004
464,30,-0.35700000000000004
465,0,6.712999999999999
465,30,0.547
466,0,-10.445
466,30,12.834000000000001
467,0,8.199
467,30,-17.399
468,0,-5.252000000000002
468,30,-0.6
469,0,-2.103
469,30,1.429
470,0,0.748
470,30,4.013999999999999
471,0,-0.307
471,30,-0.377
472,0,1.3980000000000001
472,30,3.633
473,0,3.042
473,30,-2.233
474,0,-6.789
474,30,-9.535
475,0,2.258
475,30,5.705
476,0,-3.137
476,30,-0.27899999999999997
477,0,-0.08
477,30,2.86
478,0,2.725
478,30,-2.1790000000000003
479,0,-1.12
479,30,2.0780000000000003
480,0,-1.1079999999999999
480,30,-2.463
481,0,1.86
481,30,-4.084
482,0,-6.766
482,30,0.613
483,0,2.591
483,30,2.406
484,0,2.8560000000000003
484,30,0.406
485,0,0.5539999999999999
485,30,-0.043
486,0,-3.903
486,30,-0.11800000000000001
487,0,-0.5720000000000001
487,30,-4.478
488,0,2.068
488,30,2.353
489,0,-5.38
489,30,-0.813
490,0,3.907
490,30,-1.454
491,0,-0.294
491,30,1.1059999999999999
492,0,-0.331
492,30,0.045
493,0,-1.983
493,30,0.114
494,0,-1.9509999999999998
494,30,-5.12
495,0,1.193
495,30,4.265
496,0,-1.288
496,30,-2.148
497,0,0.529
497,30,-2.843
498,0,-2.415
498,30,2.878
499,0,1.7730000000000001
499,30,-1.882
500,0,-1.9780000000000002
500,30,1.604
501,0,0.517
501,30,-1.902
502,0,-1.71
502,30,-0.067
503,0,-0.888
503,30,-1.994
504,0,2.477
504,30,-1.68
505,0,-1.5090000000000001
505,30,-0.154
506,0,-4.283
506,30,-1.193
507,0,5.292999999999998
507,30,0.763
508,0,-1.1159999999999999
508,30,-2.146
509,0,-0.018000000000000002
509,30,1.147
510,0,-1.996
510,30,-1.855
511,0,3.176
511,30,-0.292
512,0,-5.05
512,30,-0.45399999999999996
513,0,1.168
513,30,0.14800000000000002
514,0,-3.035
514,30,-1.756
515,0,6.401
515,30,2.392
516,0,-5.777
516,30,-3.327
517,0,-0.912
517,30,-2.984
518,0,0.657
518,30,1.23
519,0,2.315
519,30,-1.0070000000000001
520,0,-8.613
520,30,-2.1790000000000003
521,0,5.2620000000000005
521,30,-0.47100000000000003
522,0,-1.7269999999999999
522,30,0.433
523,0,-1.1420000000000001
523,30,-1.45
524,0,-0.647
524,30,-4.543
525,0,-2.003
525,30,7.6629999999999985
526,0,4.754
526,30,-7.193
527,0,-3.437
527,30,-1.7180000000000002
528,0,-5.132999999999999
528,30,4.383
529,0,1.73
529,30,2.059
530,0,-0.251
530,30,-4.438
531,0,2.051
531,30,6.108
532,0,1.7480000000000002
532,30,-2.6660000000000004
533,0,-4.154
533,30,-6.6720000000000015
534,0,-8.817
534,30,-3.535
535,0,6.903
535,30,10.697000000000001
536,0,0.354
536,30,-5.577999999999999
537,0,0.609
537,30,3.548
538,0,2.801
538,30,-4.484
539,0,-3.397
539,30,-3.766
540,0,-4.067
540,30,-3.3489999999999998
541,0,-1.39
541,30,2.27
542,0,4.387
542,30,7.05
543,0,2.565
543,30,-1.787
544,0,-0.442
544,30,-5.244
545,0,-4.918
545,30,-2.092
546,0,-5.879
546,30,-1.87
547,0,3.75
547,30,1.21
548,0,1.8980000000000001
548,30,2.907
549,0,-1.3259999999999998
549,30,2.5810000000000004
550,0,5.978
550,30,-0.687
551,0,-3.338
551,30,-2.165
552,0,-1.442
552,30,-2.6430000000000002
553,0,-6.1270000000000024
553,30,-4.261
554,0,2.9819999999999998
554,30,6.835
555,0,-0.218
555,30,-1.694
556,0,-0.431
556,30,0.304
557,0,3.2739999999999996
557,30,1.5219999999999998
558,0,-1.7469999999999999
558,30,-2.411
559,0,-6.124
559,30,-1.6280000000000001
560,0,3.022
560,30,-1.91
561,0,1.338
561,30,5.31
562,0,-4.709
562,30,-2.344
563,0,1.8319999999999999
563,30,-1.31
564,0,1.123
564,30,1.8130000000000002
565,0,-3.748
565,30,-2.39
566,0,4.698
566,30,1.901
567,0,-1.699
567,30,-2.8289999999999997
568,0,-1.274
568,30,0.295
569,0,2.428
569,30,4.386
570,0,-2.616
570,30,-9.275
571,0,-1.504
571,30,5.216
572,0,1.7469999999999999
572,30,2.688
573,0,1.212
573,30,-2.504
574,0,-1.785
574,30,-0.983
575,0,0.223
575,30,3.1189999999999998
576,0,-1.995
576,30,0.491
577,0,0.8740000000000001
577,30,-3.705
578,0,-1.969
578,30,6.66
579,0,6.074
579,30,-0.184
580,0,-3.133
580,30,0.909
581,0,4.333
581,30,3.66
582,0,3.35
582,30,0.037000000000000005
583,0,-3.446
583,30,-3.798
584,0,-5.148
584,30,-2.839
585,0,1.507
585,30,9.391
586,0,21.684
586,30,12.39
587,0,-6.5070000000000014
587,30,-16.545
588,0,-20.018
588,30,-22.533
589,0,-15.487
589,30,-0.309
590,0,20.72
590,30,12.467
591,0,10.167
591,30,32.78
592,0,-21.087
592,30,-39.525999999999996
593,0,-20.407
593,30,-47.843
594,0,-28.58
594,30,47.849
595,0,47.849
595,30,-1.422
596,0,9.184
596,30,-23.171999999999997
597,0,-22.669
597,30,17.074
598,0,29.570999999999998
598,30,21.465999999999998
599,0,-16.096
599,30,-35.934
600,0,-15.717
600,30,-0.20199999999999999
601,0,-14.485
601,30,11.222000000000001
602,0,26.941
602,30,2.891
603,0,-8.892999999999997
603,30,2.609
604,0,14.011
604,30,4.7810000000000015
605,0,-3.613
605,30,-3.342
606,0,-11.129000000000001
606,30,-15.613
607,0,-5.188
607,30,6.9979999999999976
608,0,9.198
608,30,4.562
609,0,4.129
609,30,1.173
610,0,-4.335
610,30,-1.256
611,0,5.336
611,30,-1.969
612,0,-6.0310000000000015
612,30,-5.968999999999999
613,0,-4.067
613,30,1.271
614,0,-1.37
614,30,-1.266
615,0,5.257999999999999
615,30,6.6129999999999995
616,0,-0.778
616,30,-5.481
617,0,-4.385
617,30,4.0489999999999995
618,0,5.678999999999999
618,30,-2.275
619,0,-4.0710000000000015
619,30,-2.253
620,0,-2.594
620,30,2.918
621,0,4.913
621,30,-2.6
622,0,-7.605
622,30,-5.394
623,0,0.667
623,30,-1.08
624,0,0.551
624,30,4.44
625,0,4.061
625,30,0.096
626,0,-1.804
626,30,0.524
627,0,-0.46299999999999997
627,30,-0.381
628,0,0.27399999999999997
628,30,-6.0710000000000015
629,0,-6.057
629,30,2.7110000000000003
630,0,0.7440000000000001
630,30,-4.498
631,0,3.0010000000000003
631,30,7.152
632,0,-2.193
632,30,-1.34
633,0,1.915
633,30,-0.579
634,0,-3.2960000000000003
634,30,-3.385
635,0,-1.6880000000000002
635,30,-1.379
636,0,-2.56
636,30,2.175
637,0,0.927
637,30,0.016
638,0,4.489
638,30,3.36
639,0,2.7889999999999997
639,30,6.894
640,0,2.492
640,30,1.594
641,0,1.8030000000000002
641,30,-0.843
642,0,1.618
642,30,3.7289999999999996
643,0,-6.388
643,30,-4.952
644,0,0.293
644,30,-0.133
645,0,3.258
645,30,-2.767
646,0,-5.496
646,30,-6.617999999999999
647,0,-4.115
